,district,area,year,rooms,value,floor,elevator,parking,warehouse
1225, جنت‌آباد جنوبی ,۱۰۵,۱۴۰۱,۲,۷٬۷۵۰٬۰۰۰٬۰۰۰,۴ از ۵,"(True,)","(True,)",True
1226, دروس ,۲۴۵,۱۴۰۱,۳,۳۲٬۰۰۰٬۰۰۰٬۰۰۰,۳ از ۵,"(True,)","(True,)",True
1227, دروس ,۳۴۰,۱۴۰۱,۴,۶۸٬۰۰۰٬۰۰۰٬۰۰۰,۵ از ۶,"(True,)","(True,)",True
1228, ستارخان ,۱۵۰,قبل از ۱۳۷۰,+۴,۲۰۰,مشاور املاک,False,"(True,)",True
1229, اختیاریه ,۱۴۸,۱۳۸۵,۳,۱۲٬۰۰۰٬۰۰۰٬۰۰۰,۳ از ۵,"(True,)","(True,)",True
1230, دهکده المپیک,۲۲۰,۱۴۰۱,۴,۷٬۰۴۰٬۰۰۰٬۰۰۰,۱۶,"(True,)","(True,)",True
1231, هفت حوض ,۶۱,۱۳۸۸,۲,۳٬۷۰۰٬۰۰۰٬۰۰۰,۲ از ۴,False,False,False
1232, کوی فردوس ,۲۱۰,۱۴۰۱,۳,۱۷٬۰۰۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
1233, فرمانیه ,۲۲۰,۱۳۹۵,۳,۳۵٬۲۰۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
1234, اباذر ,۲۲۰,۱۴۰۱,۴,۱۹٬۰۰۰٬۰۰۰٬۰۰۰,۲,"(True,)","(True,)",True
1235, قیطریه ,۱۹۰,۱۳۹۶,۴,۱۶٬۶۰۰٬۰۰۰٬۰۰۰,۶,"(True,)","(True,)",True
1236, فاطمی ,۱۱۵,۱۳۹۵,۲,۷٬۵۵۰٬۰۰۰٬۰۰۰,۵ از ۵,"(True,)","(True,)",True
1237, دیلمان ,۸۰,۱۳۹۷,۲,۳٬۲۸۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
1238, تهرانپارس غربی ,۱۱۲,۱۳۸۴,۲,۸٬۷۵۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
1239, تهرانپارس غربی ,۱۳۵,۱۳۸۲,۳,۸٬۳۴۰٬۰۰۰٬۰۰۰,۴,"(True,)","(True,)",True
1240, تهرانپارس غربی ,۵۷,۱۳۹۹,۱,۳٬۷۰۰٬۰۰۰٬۰۰۰,۱ از ۵,"(True,)","(True,)",True
1241, سهروردی ,۱۲۰,۱۳۷۵,۲,۷٬۸۰۰٬۰۰۰٬۰۰۰,همکف از ۴,False,"(True,)",True
1242, پونک ,۱۶۰,۱۴۰۱,۳,۱۳٬۵۰۰٬۰۰۰٬۰۰۰,۴ از ۵,"(True,)","(True,)",True
1243, ولنجک ,۱۰۰,۱۳۸۹,۲,۱۲٬۵۰۰٬۰۰۰٬۰۰۰,۱,"(True,)","(True,)",True
1244, زعفرانیه ,۴۰۰,۱۴۰۰,۳,۸۰٬۰۰۰٬۰۰۰٬۰۰۰,۶,"(True,)","(True,)",True
1245, ولنجک ,۲۰۰,۱۴۰۰,۳,۴۰٬۰۰۰٬۰۰۰٬۰۰۰,۸,"(True,)","(True,)",True
1246, شهران جنوبی ,۶۷,۱۳۸۲,۱,۲٬۸۰۰٬۰۰۰٬۰۰۰,همکف از ۴,False,False,False
1247, جنت‌آباد شمالی ,۷۱,۱۳۷۶,۲,۳٬۱۰۰٬۰۰۰٬۰۰۰,۳,False,"(True,)",True
1248, دریاچه شهدای خلیج فارس ,۱۰۰,۱۴۰۱,۲,۱٬۳۵۰٬۰۰۰٬۰۰۰,۱۴,"(True,)","(True,)",True
1249, دیلمان ,۸۱,۱۴۰۱,۲,۳٬۵۵۰٬۰۰۰٬۰۰۰,۳,"(True,)","(True,)",True
1250, جنت‌آباد جنوبی ,۱۰۱,۱۳۹۷,۲,۷٬۹۹۸٬۰۰۰٬۰۰۰,۵,"(True,)","(True,)",True
1251, بریانک,۸۸,۱۳۹۴,۲,۳٬۱۳۵٬۰۰۰٬۰۰۰,۲ از ۵,"(True,)","(True,)",True
1252, شهرک راه‌آهن ,۱۱۲,۱۳۸۹,۲,۵٬۲۰۰٬۰۰۰٬۰۰۰,۳ از ۶,"(True,)","(True,)",True
1253, اختیاریه,۱۲۵,۱۳۹۵,۳,۱۱٬۱۰۰٬۰۰۰٬۰۰۰,۴ از ۶,"(True,)","(True,)",True
