date,district,area,year,room,floor,evelator,parking,warehouse,value,type
1401/05/09,تهران پارس بین باقری و اردیبهشت,85,نوساز,2,2,"کولر,آسانسور,پکیج,گاز",,yes,3650000000,آپارتمان
1401/04/07,تهران پارس بین گیو و پروین,70,15,2,1,"شوفاژ,کولر,حیاط خلوت,گاز",yes,yes,2870000000,آپارتمان
1401/04/07,اتوبان بابایی شهرك شهپریان,93,5,2,7,"شوفاژ,آسانسور,گاز",yes,yes,4100000000,آپارتمان
1401/09/30,فاطمی خ گلها خ مرداد,78,30,2,3,"کولر,پکیج",,,3700000000,آپارتمان
1401/09/10,نظام آباد خ مدنی جنوبی,87,25,2,زیرهمكف,"کولر,گاز",,yes,2200000000,آپارتمان
1401/04/07,حكیمیه میدان فجر,75,6,1,4,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,2850000000,آپارتمان
1401/09/29,اشرفی اصفهانی بعد از پاساژ تیراژه,50,14,0,زیرهمكف,,,,12000000000,مغازه
1401/09/26,جنت آباد مركزی روبروی 20 متری گلستان,22,12,0,همكف,,,,5500000000,مغازه
1401/05/31,دولت خ حسام عراقی,150,19,3,4,"شوفاژ,کولر,آسانسور,استخر,مستخدم,سونا",yes,yes,13500000000,آپارتمان
1401/08/04,نارمك خ طاهری,87,3,2,4,"شوفاژ,کولر,آسانسور,پکیج",yes,yes,4002000000,آپارتمان
1401/04/07,حكیمیه فاز 3,108,2,2,6,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,5076000000,آپارتمان
1401/04/07,اتوبان بابایی شهرك بهشتی,93,10,2,8,"شوفاژ,کولر,آسانسور,گاز",yes,yes,3550000000,آپارتمان
1401/05/23,معلم روبروی سازمان جغرافیایی,88,30,2,1,"شوفاژ,کولر,آسانسور",,yes,3200000000,آپارتمان
1401/05/23,خواجه نظام اجاره دار بعداز باغ موزه قصر,52,13,1,3,"کولر,آسانسور,مستخدم,پکیج",,yes,2400000000,آپارتمان
1401/04/07,دلاوران تكاوران شمالی,75,نوساز,2,3,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,yes,3300000000,آپارتمان
1401/04/07,یافت آباد شهرك ولیعصر شمالی بهداشت,54,5,1,4,"شوفاژ,کولر,آسانسور,پکیج,گاز",yes,,1836000000,آپارتمان
1401/05/23,سبلان شمالی خ مطلب نژاد,108,1,2,1,"کولر,آسانسور,پکیج",yes,yes,3700000000,آپارتمان
1401/05/23,سبلان جنوبی نرسیده به ك امینی,60,25,1,4,"کولر,گاز",,,1400000000,آپارتمان
1401/04/07,وحیدیه نرسیده به ك غضنفری,100,5,2,6,"کولر,آسانسور,پکیج",yes,yes,3280000000,آپارتمان
