District_number,district,District
482,کوی نصر,2
483,پردیسان,2
484,شهرک آزمایش,2
485,تهران ویلا,2
486,برق آلستوم,2
487,تیموری,2
488,طرشت,2
489,همایونشهر,2
490,توحید,2
491,زنجان,2
492,شادمهر,2
493,ایوانک,2
494,دریا,2
495,شهرک قدس,2
496,آسمانها,2
497,درختی,2
498,فرحزاد,2
499,مخابرات,2
500,پرواز,2
501,آزادی,2
502,اتوبان حکیم,2
503,اتوبان شیخ فضل اله نوری,2
504,اتوبان محمد علی جناح,2
505,اتوبان نیایش,2
506,اتوبان یادگار امام,2
507,بهبودی,2
508,جلال آل احمد,2
509,خوش شمالی,2
510,ستارخان,2
511,شادمان,2
512,شهرک ژاندارمری,2
513,شهرک غرب,2
514,گیشا,2
515,مترو شریف,2
516,مرزداران,2
517,حصاربوعلی,1
518,رستم آباد- فرمانیه,1
519,اوین,1
520,درکه,1
521,زعفرانیه,1
522,محمودیه,1
523,ولنجک,1
524,امام زاده قاسم (ع),1
525,دربند,1
526,گلابدره,1
527,جماران,1
528,دزاشیب,1
529,نیاوران,1
530,اراج,1
531,کاشانک,1
532,شهرک دانشگاه,1
533,شهرک نفت,1
534,دارآباد,1
535,باغ فردوس,1
536,تجریش,1
537,قیطریه,1
538,چیذر,1
539,حکمت,1
540,ازگل,1
541,سوهانک,1
542,شهید محلاتی,1
543,اتوبان امام علی,1
544,اتوبان صدر,1
545,اقدسیه,1
546,الهیه – فرشته,1
547,اندرزگو,1
548,بلوار ارتش,1
549,پارک وی,1
550,تجریش,1
551,جمشیدیه,1
552,دیباجی,1
553,سعدآباد,1
554,صاحبقرانیه,1
555,فرمانیه,1
556,قیطریه,1
557,محمودیه,1
558,مقدس اردبیلی,1
559,مینی سیتی,1
560,نوبنیاد,1
561,ولیعصر,1
562,کاشانک,1
563,کامرانیه,1
564,دریاچه شهدای خلیج فارس,18
565,الهیه,1
566,شهرک نفت (منطقه ۱),1
567,مبارک آباد بهشتی,20
568,کوی فردوس,5
569,چیتگر,22
570,شهرک نفت (منطقه ۵),5
571,آجودانیه,1
572,اندیشه (شهر زیبا),5
573,مهرآباد جنوبی,9
574,سلسبیل,10
575,دانشگاه شریف,2
576,دانشگاه تهران,6
577,پاتریس لومومبا,2
578,جی,10
579,تهران سر,21
580,شهرک راه آهن,22
581,امیرآباد,6
582,قیام دشت,15
583,نیلوفر,7
584,دانشگاه علم و صنعت,4
585,دولت آباد,20
586,خواجه نصیر طوسی,7
587,امام سجاد(ع),7
588,گیشا (کوی نصر),2
589,امیریه,11
590,ابوذر (منطقه ۱۵),15
591,سلیمانی,10
592,شهرک امید,4
593,آبشار تهران,22
594,شهرک شریعتی,19
595,سرو آزاد,22
596,شهرک شهید باقری,22
597,امام حسین(ع),12
598,ابراهیم آباد,18
599,شیان,4
600,لشکر,11
601,جوادیه تهرانپارس,4
602,کوی مهران,5
603,شهرک تختی,16
604,شریف آباد,0
605,ائمه اطهار,14
606,ظهیرآباد,20
607,حصار بوعلی,1
608,حسین آباد,4
609,شاهد,15
610,دریان نو,2
611,شهرک پرواز,5
612,شهید آوینی,20
613,کاروان,15
614,آسمان,2
615,جوانمرد قصاب,20
616,سیدخندان,7
617,کوی بیمه,5
618,شیرازی,3
619,ابن بابویه,20
620,خانی آباد,19
621,میدان انقلاب,11
622,تولید دارو,18
623,امیر بهادر,11
624,شهرک آزادی,21
625,نارمک جنوبی,8
626,شارق شرقی,7
627,میدان حر,11
628,علی آباد,16
629,خواجه نظام الملک,7
630,سلامت,0
631,شهرک کیانشهر,15
632,گلاب دره,1
633,کوی فراز,2
634,سعیدآباد,18
635,شهرک والفجر (منطقه ۶),6
636,شادآباد,18
637,کوی هفدهم شهریور,14
638,مجیدآباد,4
639,شهرک فردوس,18
640,عارف,14
641,خاقانی,7
642,زیبادشت,22
643,هوانیروز,22
644,اتحاد,7
645,مینا,14
646,شهرک سینمایی,21
647,ارامنه,7
648,شهرک کوهسار,5
649,شهرک محلاتی,1
650,شهرک صدرا,22
651,امامزاده قاسم,1
652,شهرک فرهنگیان,21
653,صفائیه (چشمه علی),20
654,شاندیز,18
655,دولتخواه,19
656,شبیری,10
657,شهرک امام خمینی,18
658,منصوریه (پل سیمان),20
659,کوی نوبنیاد,1
660,قاسم آباد,10
661,سپهر,2
662,نبی اکرم(ص),14
663,کریم آباد,19
664,صالح آباد شرقی,19
665,دلگشا,14
666,سیروس,12
667,بهمن یار,19
668,شهرک پاسداران,21
669,فرودگاه مهرآباد,9
670,شهرک آسمان,22
671,شهید رجایی,16
672,شهرک دریا,21
