,district,area,year,rooms,value,floor,elevator,parking,warehouse
17607, شهران جنوبی ,46,1384,1,3350000000,3,True,True,False
17608, وردآورد ,85,1401,2,1540000000,9,True,True,True
17609, یوسف‌آباد ,144,1400,3,12240000000,2,True,True,True
17610, جردن ,200,1386,3,17000000000,4,True,True,True
17611, الهیه ,132,1401,2,21780000000,2,True,True,True
17612, جنت‌آباد جنوبی ,56,1387,1,3210000000,2,True,True,True
17613, سهروردی,81,1395,1,4700000000,1,True,True,True
17614, دریاچه شهدای خلیج فارس ,138,1394,3,6300000000,15,True,True,True
17615, فرمانیه ,125,1401,3,16000000000,1,True,True,True
17616, قیطریه ,200,1385,3,23000000000,4,True,True,True
17617, نیاوران ,130,1396,3,13000000000,2,True,True,True
17618, سهروردی ,65,1381,1,4400000000,4,True,True,True
17619, بریانک ,48,1377,1,1460000000,2,True,True,False
17620, جنت‌آباد مرکزی ,131,1387,3,7600000000,2,True,True,True
17621, نارمک,90,1390,2,5100000000,10,True,True,True
17622, نواب ,42,1371,1,1330000000,3,True,True,False
17623, قیطریه ,135,1400,2,12000000000,4,True,True,True
17624, دریاچه شهدای خلیج فارس ,117,1400,2,6500000000,7,True,True,True
17625, پونک ,120,1398,3,8970000000,1,True,True,True
17626, طوس ,92,1401,2,3600000000,4,True,True,True
17627, چیتگر ,112,1401,2,4450000000,3,True,True,True
17628, شهر زیبا ,90,1400,2,5950000000,1,True,True,True
17629, مجیدیه ,120,1401,2,6600000000,4,True,True,True
17630, قیطریه ,200,1397,3,20000000000,6,True,True,True
17631, سعادت‌آباد ,175,1395,3,24000000000,3,True,True,True
17632, شاهین ,107,1401,2,7276000000,7,True,True,True
17633, پونک ,106,1401,2,7738000000,11,True,True,True
17634, شاهین ,110,1401,2,7920000000,6,True,True,True
17635, جنت‌آباد مرکزی ,114,1401,2,7752000000,4,True,True,True
17636, جنت‌آباد مرکزی ,98,1401,2,6760000000,4,True,True,True
17637, گیشا (کوی نصر) ,88,1391,2,8800000000,3,True,True,True
17638, خلیج فارس ,45,1391,1,1400000000,1,True,True,False
17639, سوهانک ,130,1391,3,9700000000,2,True,True,True
17640, پونک,66,1384,1,4350000000,1,True,True,True
17641, چیتگر ,127,1401,2,7620000000,14,True,True,True
17642, طرشت,100,1401,2,58000000000,3,True,True,True
17643, چیتگر ,100,1401,2,1650000000,23,True,True,True
17644, کوی فردوس ,185,1396,3,11900000000,4,True,True,True
17645, دربند ,125,1388,3,9300000000,2,True,True,True
17646, پونک ,83,1390,2,5500000000,3,True,True,True
17647, اوقاف,77,1401,2,4235000000,3,True,True,True
17648, تهران‌سر ,60,1395,1,2900000000,1,True,True,True
17649, جنت‌آباد مرکزی ,87,1395,2,5700000000,2,True,True,True
17650, آذربایجان ,69,1399,2,3350000000,2,True,True,True
17651, دریاچه شهدای خلیج فارس ,125,1398,3,7100000000,19,True,True,True
17652, دربند ,130,1380,3,9200000000,1,True,True,True
17653, مرزداران ,192,1399,3,16320000000,1,True,True,True
17654, مرزداران ,87,1387,2,6000000000,3,True,True,True
17655, مرزداران ,185,1399,3,20500000000,4,True,True,True
17656, نازی‌آباد ,124,1399,2,3730000000,4,True,True,True
17657, شهران جنوبی ,68,1387,2,4250000000,5,True,True,True
17658, منیریه ,109,1401,2,5400000000,1,True,True,True
17659, چیتگر ,127,1401,2,10160000000,14,True,True,True
17660, جمهوری,80,1374,2,2600000000,4,True,True,False
17661, شهرک راه‌آهن ,135,1401,3,11450000000,1,True,True,True
17662, سعادت‌آباد ,54,1380,1,4500000000,5,True,True,False
17663, دریاچه شهدای خلیج فارس ,102,1401,2,4450000000,21,True,True,True
17664, سلیمانی ,46,1385,1,1380000000,2,True,True,False
17665, پاسداران ,176,1401,3,13200000000,10,True,True,True
17666, سیدخندان ,108,1387,2,7500000000,5,True,True,True
17667, سیدخندان ,110,1401,2,9180000000,4,True,True,True
17668, جلفا ,110,1401,2,7370000000,1,True,True,True
17669, سیدخندان ,100,1391,2,7800000000,2,True,True,True
17670, سیدخندان ,118,1399,3,8800000000,1,True,True,True
17671, پاسداران ,134,1380,3,9300000000,3,True,True,True
17672, پاسداران ,83,1392,2,7300000000,1,True,True,True
17673, نارمک ,81,1383,2,4950000000,5,True,True,True
17674, شهران شمالی ,60,1382,2,3450000000,4,True,True,True
17675, مرزداران ,100,1382,2,6000000000,2,True,True,True
17676, جردن,170,1401,3,16800000000,2,True,True,True
17677, شهرک غرب ,150,1401,3,21000000000,5,True,True,True
17678, فرمانیه ,222,1401,3,32000000000,6,True,True,True
17679, دروس ,160,1397,3,22000000000,3,True,True,True
17680, پونک ,84,1396,2,6300000000,1,True,True,True
17681, تهرانپارس غربی ,138,1384,3,8700000000,5,True,True,True
17682, سعادت‌آباد ,68,1392,2,7990000000,1,True,True,True
17683, کوهک ,120,1391,2,4600000000,2,True,True,True
17684, چیتگر ,50,1401,1,750000000,20,True,True,True
17685, سعادت‌آباد ,110,1385,3,8300000000,1,True,True,True
17686, سبلان,137,1400,3,5480000000,3,True,True,True
17687, قلهک,75,1396,1,7000000000,5,True,True,True
17688, سعادت‌آباد ,85,1386,2,6000000000,1,True,True,True
17689, قیطریه ,106,1390,2,10000000000,2,True,True,True
17690, پونک ,60,1385,2,3400000000,1,True,True,False
17691, نیاوران ,146,1393,3,16700000000,2,True,True,True
17692, شهر زیبا ,57,1395,1,3670000000,1,True,True,True
17693, پاسداران ,60,1399,1,5500000000,3,True,True,True
17694, پاسداران ,105,1399,2,10500000000,3,True,True,True
17695, دروس ,311,1394,4,31100000000,1,True,True,True
17696, شهر زیبا,100,1392,2,4700000000,5,True,True,True
17697, یوسف‌آباد ,116,1401,2,13400000000,2,True,True,True
17698, نارمک ,75,1388,2,3280000000,3,True,True,True
17699, نیرو هوایی ,53,1381,1,2000000000,4,True,True,False
17700, جنت‌آباد مرکزی ,70,1385,2,4850000000,2,True,True,True
17701, ستارخان ,140,1381,2,6630000000,3,True,True,True
17702, نیاوران ,220,1399,3,42000000000,5,True,True,True
17703, ولنجک ,155,1375,3,27000000000,1,True,True,True
17704,1370,1370,1370,1370,1370,1370,True,True,True
17705, سلسبیل ,90,1399,2,3600000000,1,True,True,True
17706, کوی فردوس ,85,1390,2,6100000000,4,True,True,True
17707, نیاوران ,220,1391,3,27500000000,4,True,True,True
17708, مرزداران,75,1384,2,5300000000,1,True,True,True
17709, جنت‌آباد جنوبی ,120,1401,2,8750000000,3,True,True,True
17710, شهرک غرب ,159,1400,3,23700000000,5,True,True,True
17711, تهرانپارس شرقی ,88,1401,2,4600000000,5,True,True,True
17712, پونک ,59,1384,1,3900000000,3,True,True,True
17713, جنت‌آباد جنوبی ,62,1390,2,4700000000,4,True,True,True
17714, سعادت‌آباد ,85,1388,2,5800000000,2,True,True,False
17715, سعادت‌آباد ,96,1387,2,8100000000,5,True,True,True
17716, جنت‌آباد جنوبی ,100,1386,2,5990000000,2,True,True,True
17717, قیطریه ,132,1396,2,15600000000,5,True,True,True
17718,1370,1370,1370,1370,1370,1370,True,True,True
17719, دریاچه شهدای خلیج فارس ,114,1401,2,4550000000,18,True,True,True
17720, جیحون ,92,1401,2,3550000000,4,True,True,True
17721, الهیه ,170,1390,3,26000000000,3,True,True,True
17722, الهیه ,210,1399,3,38000000000,1,True,True,True
17723, دیلمان ,61,1395,2,1860000000,1,True,True,False
17724, قیطریه ,116,1375,2,8100000000,2,True,True,True
17725, استاد معین ,59,1394,2,3000000000,2,True,True,True
17726, زعفرانیه ,178,1390,3,25400000000,3,True,True,True
17727, سعادت‌آباد ,290,1401,3,73000000000,5,True,True,True
17728, اباذر ,109,1386,2,6400000000,3,True,True,True
17729, دریاچه شهدای خلیج فارس ,145,1399,3,9500000000,14,True,True,True
17730, سعادت‌آباد ,120,1384,3,15500000000,3,True,True,True
17731, جنت‌آباد مرکزی ,57,1388,1,3550000000,2,True,True,True
17732, پیروزی,55,1379,1,2200000000,2,True,True,False
17733, مرزداران ,165,1400,3,21450000000,2,True,True,True
17734, دریاچه شهدای خلیج فارس ,116,1401,2,7700000000,17,True,True,True
17735, دریاچه شهدای خلیج فارس ,132,1401,2,7650000000,13,True,True,True
17736, ظفر ,170,1385,3,12580000000,3,True,True,True
17737, شهر زیبا ,64,1382,1,3080000000,3,True,True,True
17738, ائمه اطهار,81,1384,2,3300000000,1,True,True,False
17739, ستارخان ,125,1401,2,7800000000,3,True,True,True
17740, بریانک ,46,1384,1,1400000000,3,True,True,True
17741, نارمک ,130,1401,3,9750000000,4,True,True,True
17742, جنت‌آباد مرکزی ,88,1396,2,5780000000,5,True,True,True
17743, دریاچه شهدای خلیج فارس ,128,1396,3,7750000000,10,True,True,True
17744, صادقیه ,116,1401,2,7500000000,1,True,True,True
17745, فرمانیه ,92,1401,2,12700000000,5,True,True,True
17746, ونک ,205,1371,3,15500000000,3,True,True,True
17747, هروی ,145,1401,3,10850000000,3,True,True,True
17748, شمس‌آباد ,119,1401,2,6650000000,4,True,True,True
17749, سیدخندان ,131,1390,3,9170000000,1,True,True,True
17750, شهرک غرب ,145,1376,2,14500000000,3,True,True,True
17751, نیاوران ,122,1394,2,11000000000,1,True,True,True
17752, گیشا (کوی نصر) ,175,1392,3,15575000000,1,True,True,True
17753, استاد معین ,56,1385,1,1820000000,3,True,True,False
17754, جیحون ,64,1397,1,2080000000,2,True,True,False
17755, دریاچه شهدای خلیج فارس ,115,1396,2,8600000000,13,True,True,True
17756, تهرانپارس شرقی ,80,1385,2,2800000000,1,True,True,True
17757, هروی ,135,1401,3,12825000000,3,True,True,True
17758, هروی ,180,1380,3,10400000000,1,True,True,False
17759, شهران جنوبی ,126,1397,3,7250000000,4,True,True,True
